teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
thyroid medication {nos}||thyroid extract, porcine|chromium cation (3+)|cloruro de metiltioninio|strontium cation sr-89|chromium cation (cr3+)|thallium cation tl-201|timepidium cation|thyroid, porcine|chromic cation|thynnus mediterraneus flesh
human red blood cell fluid (irradiation)||human cord blood hematopoietic progenitor cell|human blood group h type 1 trisaccharide|technetium tc-99m red blood cell human|human plasma protein fraction|human-derived botulism antitoxin antibodies|human relaxin 2 (relaxin h2)|humanized monoclonal antibody hu3f8-igg1|human von willebrand factor|human recombinant alpha-l-iduronidase|somatrem (genetical recombination)
proimend||prothipendyl|protipendilo|prolina|proline|procaine|procaina|protamine|protamina|propidine|probenecid
thioinosin||tilmicosin|thioredoxin|thioridazin|dethiobiotin|inosin|methylthioinosine|methionin|theocolin|tretinoin|tiopronin
diphtheria toxoid + pertussis toxoid acellular + poliomyelitis vaccine + tetanus toxoid||neisseria meningitidis group a capsular polysaccharide tetanus toxoid conjugate antigen|bordetella pertussis toxoid antigen (glutaraldehyde inactivated)|bordetella pertussis toxoid antigen (formaldehyde, glutaraldehyde inactivated)|neisseria meningitidis group c capsular polysaccharide tetanus toxoid conjugate antigen|neisseria meningitidis group y capsular polysaccharide tetanus toxoid conjugate antigen|bordetella pertussis filamentous hemagglutinin vaccine, inactivated|bordetella pertussis toxoid antigen (formaldehyde inactivated)|neisseria meningitidis group a capsular polysaccharide antigen|neisseria meningitidis group w-135 capsular polysaccharide tetanus toxoid conjugate antigen|neisseria meningitidis group c capsular polysaccharide antigen
bonoplazan fumarate||monomethyl fumarate|iron(2+) fumarate|diroximel fumarate|zinc ethyl fumarate|ferrous fumarate|monopotassium lactate|zinc monoethylfumarate|dimethyl fumarate|monoammonium carbonate|monoglyceryl stearate
progynova||prolina|propanol|progabida|propenoate|proguanilo|propafenona|lutogynon|progesterona|aprotinina|promegestona
thienopyridine derivative||triphosphopyridine nucleotide|3,4-pyridinediamine|diphosphopyridine nucleotide|tuberculin,purified protein derivative|tuberculin purified protein derivative|diphenylpyraline teoclate|tuberculin, purified protein derivative|theophyllinate de choline|thieno[2,3-b]pyridine-2-carboxamidine|trisaziridinyltriazine
electrolytes||electrolytic iron|nectrolide|iron, electrolytic|letrozole|eletriptán|petrolatum|alendronate|eletriptan|everolimus|leutrol
basic solution for high-calorie infusion (5-3)||calendula flower olive oil infusion|coagulation factor viia (recombinant)|h-ras antisense oligodeoxynucleotide isis 2503|coagulation factor ix (recombinant), albumin fusion protein|sheep corticotropin-releasing factor (1-41)|coagulation factor viia recombinant human|fractionated triglyceride of coconut oil|fc il-2 mutein fusion protein (amg-592)|immune-globulin for coronavirus disease (covid-19)|basic ferric sulfate solution
terumo raw food||curcuma brog root|tetraborate ion|temu lawak oil|turmeric root|bergamot orange oil|tu mu xiang root|trout, rainbow|eleuthero root|terameprocol|siberian larch wood
diphtheria toxoid + pertussis toxoid + poliomyelitis vaccine + tetanus toxoid||bordetella pertussis toxoid vaccine, inactivated|diphtheria toxin-il-3 fusion protein targeting il-3 receptor|bordetella pertussis toxoid antigen (formaldehyde inactivated)|bordetella pertussis filamentous hemagglutinin vaccine, inactivated|bordetella pertussis toxoid antigen (glutaraldehyde inactivated)|inactivated poliomyelitis vaccine (v.c.o.) type 1 mahoney|inactivated poliomyelitis vaccine (v.c.o.) type 3 saukett|inactivated poliomyelitis vaccine (d.c.o.) type 2 mef1|bordetella pertussis pertactin vaccine, inactivated|bordetella pertussis fimbriae 2/3 vaccine, inactivated
prograf capsule||proparacaine|protamine sulfate|urografin acid|proguanile|weeping forsythia capsule|potasse caustique|poa annua pollen|proglumétacine|octadecansäure|priralfinamide
human platelet concentrate (irradiation)||prothrombin complex concentrate (human)|aprotinin concentrated solution|protein c concentrate (human)|human plasma protein fraction|factor xiii concentrate (human)|fibrinogen concentrate (human)|plasma concentrate factor ix|human polyvalent shedded antigen vaccine|protein c concentrate human|alteplase (genetical recombination)
diphtheria||diphthamide|diphtheria toxoid|dipivefrina|biopterin|dipivefrin|diphemanil|diphenylurea|dog epithelia|dipivefrine|dutasterida
b6||rb106|bv2|mx6|bia|fx06|r667|beef|r673|bean|t-62
telmisartan + hydrochlorothiazide||isobutylhydrochlorothiazide|hydrochlorothiazide|hydrochlorothiazidum|acriflavine hydrochloride|aluminum hydroxychloride|adiphenine hydrochloride|zirconyl hydroxychloride|benzhydroflumethiazide|zirconium hydroxychloride|delta(1)-hydrocortisone
diphenidine||diphenadione|diphenidol|tipepidine|phenindione|biphenamine|rilmenidine|phenaridine|diphenhydramine|diphenylguanidine|piperidione
producton||probucol|piroctona|piroctone|pyroquilon|piroctonol|procetofen|piroctonum|proquazone|propiodone|probucolum
tegretol||meglutol|regrelor|d-treitol|arterenol|sterol|eugenol|estetrol|phloretol|teprenona|teprenone
lima prost alphadex||limaprost alfadex|liposomal prostaglandin e1|sodium pyrosulphite|calcium phosphates|calcium phosphate|limaprost|prasterone sulphate|iron pyrophosphate|aluminum phosphate|follitropin alpha
arbutrepenonacog alpha (genetical recombination)||antithrombin gamma (genetical recombination)|agalsidase alfa (genetical recombination)|alteplase (genetical recombination)|burosumab (genetical recombination)|lenograstim (genetical recombination)|laronidase (genetical recombination)|aflibercept (genetical recombination)|somapacitan (genetical recombination)|agalsidase beta (genetical recombination)|insulin lispro (genetical recombination)
diphenhydrami||diphenhydramine|diphenhydraminum|bromodiphenhydramine|difenhidramina|diphenylcarbamide|diphenylhydantoin|diphenylurea|diphencyprone|dimenhydrinate|dimenhydrinatum
tbi-1501||gti-2501|pbi-1402|st-101|it-101|imm-101|pti-801|evt-101|atx-101|hzt-501|tbc-3711
bifidobacterium preparation (4)||bifidobacterium infantis|bifidobacterium infantis whole|bifidobacterium liberorum whole|bifidobacterium lactentis whole|bifidobacterium breve|bifidobacterium longum infantis|bifidobacterium longum infantis whole|brown rice preparation|boswellia serrata preparation|carduus marianus preparation
tassericive||sericin|tangerine|taselisib|dutasteride|rasburicase|deserpidine|etaperazine|tyrothricine|tasonermin|tasonermina
diphenhy dramine salicylate||diphenhydramine theoclate|phenyl aminosalicylate|phenyl 4-aminosalicylate|diphenylpyraline teoclate|trolamine salicylate|phenyl salicylate|bismuth oxide salicylate|diphenhydramine 8-chlorotheophyllinate|diphenhydramine|choline salicylate
product prescription error||bromoergocriptine|brown rice preparation|preimplantation factor|synthetic preimplantation factor|oats preparation|bald cypress pollen extract|puncturevine caltrop root|cloruro de metiltioninio|strontium cation sr-89|resurrection lily root
saline||valine|salix|katine|serine|acyline|aniline|alanine|patuline|suramine|canaline
tas-121||tas-116|tas-102|tas-117|das-181|tas-108|tas-106|gts-21|qs-21|av-101|pp-121
amosuralol hydrochloride||acriflavine hydrochloride|aluminum hydroxychloride|adiphenine hydrochloride|zirconyl hydroxychloride|zirconium hydroxychloride|lauroyl chloride|cobalt dichloride|cobaltous dichloride|mercuric amidochloride|thiosulfurous dichloride
prodonisolone||prednisolone|prednisolona|prednisolonum|fluprednisolone|prednisone|prednisona|propiodone|propyliodone|meprednisone|pregnanolone
dipeptidylpeptidase-4 inhibitor||alpha1-proteinase inhibitor|alpha 1-proteinase inhibitor|alpha-1-proteinase inhibitor|alpha-1 protease inhibitor|naphthyridine inhibitor|hiv integrase inhibitor|plasma protease c1 inhibitor|complement c1 esterase inhibitor|human c1-esterase inhibitor|histone deacetylase inhibitor iii
edxavant sylate hydrate||hexafluoroacetone hydrate|ferric citrate hydrate|iron azide hydrate|dicalcium phosphate dihydrate|magnesium aluminate hydrate|magnesium aluminum silicate hydrate|hexaammonium molybdate tetrahydrate|calcium phosphate dihydrate|citronellal hydrate|magnesium aluminium silicate hydrate
2134001||vpm4001|ly2140023|ino-1001|etc-1001|xmt-1001|cam-3001|ore-1001|abl-001|qgc-001|rrx-001
taraxacum officinale||taraxacum officinale leaf|taraxacum officinale pollen|taraxacum officinale dry leaf|borago officinalis|salvia officinalis|rosmarinus officinalis|taraxacum vulgare leaf|anacardium occidentale|senega officinalis|taraxacum dens-leonis leaf
lactomin||pantomin|lactoflavin|ractopamine|artemin|lactose|lanolin|ascotoxin|melatonin|elcatonin|allantoin
takepron od||stepronino|terameprocol|taurineold|tiopronino|betameprodine|teprenona|stepronin|teprenone|stepronine|naproxcinod
processed bush powder||oyster shell powder|ostrea shell powder|acorus calamus powder|aloe vera leaf powder|cellulose powder|chondrus crispus powder|aloe ferox leaf powder|cellulose, powder|magnesium powder|milk,processed nonfat dry
dipeptidyl-peptidase iv inhibitor||alpha1-proteinase inhibitor|alpha-1-proteinase inhibitor|plasma protease c1 inhibitor|alpha 1-proteinase inhibitor|complement c1 esterase inhibitor|alpha-1 protease inhibitor|immature tripeptidyl-peptidase i|human c1-esterase inhibitor|naphthyridine inhibitor|hiv integrase inhibitor
iopamidor||iopamidol|iopamidolum|iodamida|iodamide|iodamidum|iodipamide|xipamida|xipamide|xipamidum|clopamide
takepron||betapron|zaleplon|algeron|alfeprol|azaperon|mesupron|oxaceprol|teprenone|stepronin|tavapadon
dipeptidyl peptidase-iv||immature tripeptidyl-peptidase i|serratiopeptidase|palmitoyl tripeptide-1|acetyl hexapeptide-8|acetyl hexapeptide-3|copper tripeptide-1|dipivalyl epinephrine|dimethylacetic acid|dimethyl phthalate|gi heptapeptide
maintenance liquid (3)||lanthanum cation (3+)|paraffinum liquidum|paraffin, liquid|lanthanum cation (la3+)|angiotensin ii (human)|lanthanum, ion (la3+)|naringeninic acid|paraffin, light liquid|paraffinum perliquidum|l-arginine amide(1+)
those that mainly act on acid-fast bacilli||monoethanolamine palmitic acid amide|tissue plasminogen activator alteplase|house dust mite extract, dermatophagoides farinae|phosphoaminophosphonic acid-adenylate ester|recombinant coagulation factor xiii|omega-3 polyunsaturated fatty acids|tissue plasminogen activator, recombinant|bothrops atrox blood-coagulation factor x activator|human coagulation factor viii|human coagulation factor vii
synthetic blood||synthetic camphor|synthetic exendin-4|pentetic acid|pantothenic acid|behenic alcohol|kynurenic acid|n-heptoic acid|cysteric acid|synthetic somatostatin-14|diphtheria toxoid
dip||ditpa|mdipa|mdi-p|diphos|dill|datp|dilazep|adipate|ddino|2mdtp
probiotics (miyairi bacteria)||propionic acid amide|piroxicam cinnamic acid ester|caprylic acid triglyceride|qing dai (indigofera tinctoria)|o-aminocinnamic acid lactam|baizhi (angelica dahurica)|calcitonin (pork natural)|arnica (arnica montana)|clonostachys araucaria|hyriopsis cumingii cultured pearl
synoxacin||enoxacin|cinoxacin|rosoxacin|enoxacina|énoxacine|enoxacino|ozenoxacin|cinoxacine|cinoxacino|ofloxacin
non-pyrine cold remedy (4)||lumefantrine co-artemether|glycine gracilis seed oil|3-pyridinecarboxaldehyde|zingiber cholmondeleyi oil|apricot seed oil|l-serine, acetate (ester)|iodine iofetamine (123i)|glycine hispida seed oil|3-pyridinecarboxamide|2-pyrazinecarboxamide
dioscorea spp. rhizome||mao cang zhu rhizome|acorus calamus rhizome|curcuma longa rhizome|tibet sweetflag rhizome|atractylodes rhizome|elecampane rhizome|sweetflag rhizome|cimicifuga racemosa rhizome|atractylodes lancea rhizome|common anemarrhena rhizome
streptococcus faecalis||streptococcus faecium whole|enterococcus faecium|streptococcal fibrinolysin|streptomyces griseus|enterococcus faecium whole|microascus brevicaulis|streptochinasi|stiborous acid|streptozotocin|streptozocine
polar prezink||polaprezinc|bola resin|proclorperazina|oxaprozin|oxaprozina|oxaprozine|cariprazine|opobalsam resin|prochlorperazin|prochlorperazine
pro-netu||proline|probenecid|paroxetinum|proconvertin|ronnel|propenoate|propanetriol|prolinum|procaine|phosmet
dimethyl sulfooxide||dimethyl sulfoxide|dimethyl sulphoxide|dimethyl sulfur oxide|dimethylsulfoxid|dimethyli sulfoxidum|dimethyl sulfone|diméthylsulfoxyde|dimethyl sulphone|dimetil sulfóxido|methyl sulfone
supraventricular tachycardia (supraventricular tachycardia)||angelicae dahuricae radix (angelica dahurica)|salmonella enterica subsp. enterica serovar typhi|allergenic extract- cockroach periplaneta americana|dahurian angelica root (angelica dahurica)|natural heparin pentasaccharide|recombinant human thyroid stimulating hormone|antithrombin gamma (genetical recombination)|antivenin (crotalidae) polyvalent (equine origin)|allogeneic umbilical cord blood derived regulatory t-cells|technetium tc 99m diisopropyl-iminodiacetic acid
fresh frozen human plasma||fibrinogen human plasma-derived|thrombin human plasma-derived|recombinant human microplasmin|recombinant human plasma gelsolin|recombinant human relaxin|recombinant human gad65|f8 protein, human|riferminogene pecaplasmid|antithrombin iii human plasma-derived|fibrinogen human
stopper||copper|stibophen|stelera|ghk copper|hot pepper|sutoprofen|astodrimer|sitosterol|atopaxar|tungstopterin
dimefurin hydrochloride||adiphenine hydrochloride|acriflavine hydrochloride|mercuric amidochloride|aluminum hydroxychloride|zirconyl hydroxychloride|zirconium hydroxychloride|disulfur dichloride|mercuric chloride|mercuric bichloride|mercury perchloride
primperan complex||iron dextran complex|hesperidin complex|factor ix complex|vitamin b12 complex|iron sucrose complex|hicoria pecan pollen|carya pecan pollen|prezatide copper|propranololum|pimento whole
stimulants (general drugs)||mimosa senegal resin|senegalia senegal resin|giant fennel resin|sodium carbonate (anhydrous)|ma huang (ephedra sinica)|zinc sulfate (anhydrous)|atlantic mackerel flesh|tezampanel (anhydrous)|insulin glargine (rdna origin)|sodium molybdate (anhydrous)
daikenchuto||dl-fenchone|darifenacinum|darifenacina|difenoxilato|darifenacin|dienestrol|difenidolo|catechu|domiphen cation|dimenhidrinato
stem cell transplant||oyster shell extract|ostrea shell extract|stemphylium solani|strontium ranelate|washed microbiota transplantation|sterculia urens resin|glycerol tricaprylate|menthyl anthranilate|culex calcitrans|sage oil england
dikinin syrup for children||adiphenine hydrochloride|virginian skullcap whole|bovine type i collagen|stinking smut of wheat|dimethyl sulfur oxide|methionine sulfoxide|digoxin immune fab (ovine)|digoxin immune fab, ovine|american sycamore pollen|terpin cis-form hydrate
prevenar||pargeverina|brequinar|oprelvekin|preladenant|pear|pargeverinum|teprenona|iproveratril|resveratrol|taprenepag
stelara||stelera|reteplasa|alteplasa|steelhead|sutilaina|sevelamer|safra|sterol|sevelamero|isoetarina
sodium azulene sulfonate hydrate||sodium lauryl sulfoacetate|sodium aurothiosulfate anhydrous|magnesium aluminum silicate hydrate|magnesium aluminosilicate hydrate|magnesium aluminium silicate hydrate|sodium sulfate anhydrous|magnesium aluminate hydrate|sodium sulfate, anhydrous|aluminium magnesium silicate hydrate|sodium lauryl sulfate
sputum agent||sodium acetate|equisetum arvense|pumactant|strontium ranelate|strontium malonate|aspartyl adenylate|potassium acetate|calcium alginate|aluminum acetate|sodium carbonate
diiodocalcium stearate||dibasic aluminum stearate|dihydroxyaluminum stearate|dibasic aluminium stearate|dibasic magnesium stearate|tricalcium citrate|aluminum stearate|disodium tartrate|aluminium stearate|calcium saccharate|calcium citrate
starting liquid (4)||paraffin, liquid|paraffinum liquidum|paraffinum perliquidum|paraffin, light liquid|l-arginine amide(1+)|petrolatum, liquid|pix liquida|tariquidar|floating little wheat|salvianolic acid a
influenza ha vaccine||cholera vaccine|hepatitis a vaccine|lnp-ncovsarna vaccine|influenza virus type b|dengue vaccine|plague vaccine|anthrax vaccine|lv-smenp vaccine|varicella vaccine|chickenpox vaccine
pregnanediol||pentanedial|pregnanolone|p-benzenediol|3,20-pregnanedione|prenalterol|propanetriol|proguanil|phenindion|phenoxodiol|pregnenolone
sodium gualenate||sodium sulfate|sodium acetate|sodium choleate|sodium apolate|sodium vanadate|sodium carbonate|sodium edetate|sodium tartrate|sodium camsylate|sodium bicarbonate
souhakuhi||(s)-bakuchiol|shannai|yuanzhi|squash|sanchi|g-strophanthin|sotrastaurin|sakuranetin|isofluranum|isoetharine
digestive medicine not classified elsewhere||vitamin e nicotinic acid ester|diethylene glycol dimethyl ether|diethylene glycol diethyl ether|nicotinamide adenine dinucleotide phosphate|cis-eicosapentaenoic acid ethyl ester|insulin recombinant purified human|vasoactive intestinal octacosapeptide (swine)|tetrahedral intermediate of blasticidin s|piroxicam cinnamic acid ester|diethylene glycol ethyl methyl ether
human red blood cell fluid||human amniotic fluid|technetium tc-99m red blood cell human|technetium tc-99m red blood cells|technetium tc 99m red blood cells|technetium tc-99m red blood cell|human rho(d) immune globulin|technetium (99mtc) red blood cells|human endothelin|human relaxin 2 (relaxin h2)|human proinsulin c-peptide
soisterol||soysterol|soy sterol|sitosterol|soya sterol|viosterol|sterol|sobrerol|lanosterol|ergosterol|cholesterol
predonine||prednisone|threonine|pirenoxine|pyridoxine|proline|pemoline|treonina|bredinin|arecoline|prazosine
digestive enzymes||dimetindene|amifostine anhydrous|dephospho coenzyme a|oxidized coenzyme a|desulfo-coenzyme a|didrogesterone|dimethindene|vitamin b12 coenzyme|benzoate de benzyle|sinapoyl coenzyme a
seishoekkito||methohexitone|metisergido|mesoerythritol|stilboestrol|methohexital|erismodegib|seocalcitol|selisistat|lesopitron|sesame oil
sodium azulene sulfonate||sodium lauryl sulfate|sodium camphorsulfonate|sodium lauryl sulfoacetate|sodium laurilsulfate|sodium aurotiosulfate|sodium lauryl sulphate|sodium aurothiosulfate|sodium dodecyl sulfate|sodium aluminum silicate|sodium dodecylsulfate
digestive drug||amifostine anhydrous|dietilestilbestrol|ginsenoside rg1|dydrogesteronum|didrogesterona|didrogesterone|disilver oxide|progesteronum|galidesivirum|desogestrelum
prednitsone||prednisone|prednisona|meprednisone|prednisolone|prednisonum|prednisolona|prednimustine|prednisolonum|fluprednisolone|phenarsone
dried haemophilus type b vaccine (tetanus toxoid conjugate)||haemophilus influenzae b polysaccharide - tetanus conjugate|haemophilus influenzae b polysaccharide-tetanus conjugate|haemophilus influenzae type b strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen|haemophilus influenzae type b strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen|neisseria meningitidis group y capsular polysaccharide tetanus toxoid conjugate antigen|neisseria meningitidis group c capsular polysaccharide tetanus toxoid conjugate antigen|neisseria meningitidis group a capsular polysaccharide tetanus toxoid conjugate antigen|human adenovirus serotype 4 vaccine strain cl-68578|varicella zoster vaccine (live/attenuated)|haemophilus influenzae type b polysaccharide conjugated to tetanus protein
snri||snail|sanqi|shrimp|serina|san qi|sanchi|serine|aneurin|estriol|eserine
red blood cells||cord blood therapy|red cedarwood oil|red bell pepper|cedarwood oil|cd34+ cells|methylated cellulose|red cedar wood oil|red sorrel whole|uredo caries|blood stone
diaphragm a ointment||.alpha.-mangosten|diphenhydraminum|diphenhydramine|diphemanil ion|alpha-carotene|dihydralazinum|dihydralazine|d-asparagine|dipyridamine|dipraglurant
minodoronic acid hydrate||silicic acid hydrate|isonicotinic acid hydrazide|iron azide hydrate|minodronic acid|zoledronic acid anhydrous|timnodonic acid ethyl ester|zoledronic acid, anhydrous|isatoic acid anhydride|amidotrizoic acid (anhydrous)|pseudomonic acid a
sm combination powder||arnica montana powder|turmeric root powder|magnesium powder|aluminum powder|acacia powder|cocoa powder|iron powder|licorice extract powder|recombinant factor ix|common timothy pollen
prednisolon||prednisolone|prednisolona|prednisolonum|prednisona|prednisone|fluprednisolone|prednisonum|fluprednisolonum|methylprednisolon|metilprednisolona
diaphen||domiphen|dmpen|dm-pen|diphos|biapenem|posiphen|camphene|dianexin|aminophen|diannexin
sio||estriol|psicose|silicio|östriol|samario|selenio|potasio|silicon|silanol|bepio
adrenal hormones||adrenalone|parathormone|adrenaline|adrenalona|growth hormone|avenanthramides|luteinising hormone|taurine chloramine|2-phenylchromone|tsh-releasing hormone
pyromid acid||piromidic acid|pyruvic acid|pyroracemic acid|pteroic acid|perboric acid|pyroguaiac acid|pyromellitic acid|pyroglutamic acid|formic acid|orotic acid
sg||sage|sygen|hbsag|fig|egg|senega|sgn-15|sgn-30|s-dhpg|sgs518
diaminodiphenyl sulfone||4,4'-diaminodiphenyl sulfone|p,p'-diaminodiphenyl sulfone|4-aminophenyl sulfone|p-aminophenyl sulfone|4,4'-diaminodiphenylsulfone|4,4'-diaminodiphenyl sulphone|bis(p-aminophenyl) sulfone|bis(4-aminophenyl)sulfone|diaphenylsulfone|dimethyl sulfone
b12 combination drug||dacomitinib anhydrous|musa acuminata fruit|recombinant human gad65|chromium cation (cr3+)|recombinant human tnf|recombinant factor ix|chromium cation (3+)|recombinant thrombin|bicarbonate of soda|chromate ion cr-51
serincro||serina|serine|sericin|serinum|sertindol|serenoa|eserine|verinurad|selinexor|sorbinilo
dialuminate||dibunate|alginate|dialuminum sulfate|palmitate|diatomite|hyaluronate|difluprednate|dinaline|sinapinate|filaminast
precall sustainable cough capsule||weeping forsythia capsule|atrazine glutathione conjugate|arylsulfatase b galsulfase|prussian blue insoluble|praluzatamab ravtansine|1-menaphthyl glutathione conjugate|precipitated calcium carbonate|callistemon citrinus pollen|phellinus linteus mycelium|9-sar-substance p sulfone
pantothenic||pantothenate|pantothenic acid|d-pantothenol|dl-pantothenol|d-pantothenic acid|panthenol|pantethine|camptothecin|(+)-pantothenic acid|pantenol
dialinate||dinaline|alginate|sinapinate|folinate|dibunate|diatrizoate|dinalin|dicaine|lithonate|diatomite
mecrophenoxate hydrochloride||adiphenine hydrochloride|acriflavine hydrochloride|zirconyl hydroxychloride|zirconium hydroxychloride|scopolamine hydrobromide|ethylene dichloride|ethylene trichloride|mercuric amidochloride|aluminum hydroxychloride|glycerophosphate de choline
dia package||dha paclitaxel|d-asparagine|dapaconazole|dilpacimab|dha-paclitaxel|acacia mucilage|sodium acetate|zinc acetate|l-asparagine|lime acetate
separated constituent from rabbit skin treated with vaccinia virus||garcinia cambogia (constituent of garcinia cambogia and garcinia indica)|human telomerase reverse transcriptase (htert) dna vaccine invac-1|tienchi ginseng (constituent of american ginseng, asian ginseng, and tienchi ginseng)|blood coagulation factor xiii  (synthetic human a-chain precursor)|engineered variant of recombinant human fibroblast growth factor 19|recombinant human basic fibroblast growth factor, kcb-1|neisseria meningitidis serogroup b nhba fusion protein antigen|activated recombinant human factor vii, long acting|recombinant chimeric covid-19 epitope dc vaccine;|recombinant human basic fibroblast growth factor
prds-001 vs sham||sars-cov-2 sclamp|prostin f2 alpha|pgf2-alpha tham|protein s human|ephedra flava stem|arundo bambos stem|propyl-1-phosphate|protein s (human)|peg-100 stearate|lum-001 cation
vaccinia virus inoculated rabbit inflamed skin extract||citrus reticulata (tangerine) peel extract|vaccinia virus strain new york city board of health live antigen|carthamus tinctorius flower bud extract|vaccinia virus live antigen, b|varicella virus vaccine live (oka-merck) strain|citrus nobilis (mandarin orange) peel extract|passiflora incarnata flower dry extract|matricaria recutita flower dry extract|rabies virus inactivated antigen, a|carthamus tinctorius (safflower) bud extract
dextrin||dextran|icodextrin|icodextrine|icodextrina|daturin|dextrose|kevetrin|dextrosa|deptropina|deptropine
sbi-087||osi-027|sobi-003|bi-k0376|sot-107|sgi-1776|ico-007|pi-0824|sbc-102|abt-072|mk-0873
maou extract combination drug||somatrem (genetical recombination)|analogue of indinavir drug|malt extract, barley|burosumab (genetical recombination)|benzoin extract (resinoid)|galsulfase (genetical recombination)|laronidase (genetical recombination)|adalimumab (genetical recombination)|abciximab (genetical recombination)|somatropin (recombinant dna origin)
shakuyakukanzoto||sulphafurazole|sulphafurazol|sulfafurazole|sulfafenazolo|sulfafurazol|sakuranetin|shu di huang root|(2s)-sakuranetin|phenylbutazone|phénylbutazone
dexamethason||dexamethasone|dexamethasonum|dexametasona|dexaméthasone|deoxymethasone|betamethasone|desoxymethasone|betadexamethasone|desoximetason|betamethasonum
sar240550||sar-405838|sb-249553|s-40503|starch 1551|starch 1500|sar-125844|gsk2245035|fr230513|sc-74020|slx-4090
pravastantin||pravastatin|pravastatine|pravastatina|pravastatinum|pitavastatin|pitavastatine|pitavastatina|pitavastatia|cerivastatin|pitavastatinum
sankirai||anakinra|salirasib|shannai|antipain|shan nai|isunakinra|sanqi|ranpirnase|sakuranetin|ganirelix
dermaquick vzv||dermapoietin|deramciclane|ceramide vi|mercapturic acid|dermatopoietin|decanoic acid|menaquinone 6|menaquinone 7|d-malic acid|dekamycin v
