dialinate||alginate|dinaline|dialyvite|driminate|sinapinate|dinate|dialyte|folinate|dibunate|hylinate
human red blood cell fluid (irradiation)||duane reade aloe vera pain relieving|candy doll liquid foundation|human cord blood hematopoietic progenitor cell|adsol red cell preservation|paul and joe protective fluid foundation s 100|paul and joe protective fluid foundation s 102|paul and joe protective fluid foundation s 201|paul and joe protective fluid foundation s 104|paul and joe protective fluid foundation s 105|paul and joe protective fluid foundation s 101
depression drug||expression marine|desmopressin spray|desmopressinum|compression sock|pressyn ar|prascion ra|generic drug|budeprion sr|felypressinum|prussian blue
porphymer sodium||porfimer sodium|porfimer sodico|morrhuate sodium|porfimère sodique|apo-phenytoin sodium|oxybate sodium|hypaque sodium|naproxen sodium|parecoxib sodium|porfimer natrium
poultice||pumice|solaice|poultry|poldine|cool ice|proline|sultiame|gold ice|puretize|oncotice
ro5304020||r-30490|ro-4584820|ro-5028442|pro 2000|ro-5045337|pg-530742|tro40303|sc-74020|avi-4020|nov-002
dental antiformin||digitalis antitoxin|septa-metformin|dental guardian|kendall antifungal|renewal anti-wrinkle|derman antifungal|claviformin|dual action|pentagastrin|act metformin
polyporus decoction shimotsuto||polyporus versicolor fruiting body|polyporus linteus mycelium|polyporus rudis mycelium|polyporus fuscatus fruiting body|cold plus head congestion nighttime|polyporus nigricans fruiting body|polyporus obliquus fruiting body|polysporin cold sore ointment|polysporin for stitches|pyropolyporus yucatanensis mycelium
popishot||pomist|episoft|optison|topicort|nopen hot|phenoris ont|potasio|posiphen|topisulf|goniosoft
denotable||enablex|dentagel|disposable|decitabine|dimenoxadole|dilotab|zenhale|dentree|zenatane|sensible
ro4964913||fr236913|ro-4987655|ro6874281|r-82913|ru85493|r04936 liq|r04946 liq|ro-5045337|tmc-649128|ro-4584820
polyethylene resin||polyethylene glycol|polyethylene glycol 8|phentermine resin|podophyllum resin|cholestyramine resin|pyrethrum oleo resin|polyethylene glycol 400|polyethylene glycol 300|polyetherin a|pyrethrum oleoresin
dementia medicine||motion medicine|hymenialdisine|dom-nifedipine|percy medicine|allergy medicine|iq dental mepivacaine|cold medicine|mint-amlodipine|ammens medicated|pinworm medicine
human platelet concentrate (irradiation)||pain relief concentrated infants|prothrombin complex concentrate (human)|hyvee ultra concentrated citrus scent|aprotinin concentrated solution|dawn ultra concentrated orange|protein c concentrate (human)|human plasma protein fraction|queens rose elysee concen trate dual ampoule|zoledronic acid concentrate for injection|wellage concentrated illumination expert
mallotus japonicus extract||swertia japonica extract|sophora japonica bud extract|acorus calamus extract|saltbush pollen extract|allscale pollen extract|valley oak pollen extract|salmon allergenic extract|black locust pollen extract|tall oat grass pollen extract|sambucus nigra extract
b6||rb106|bv2|mx6|bia|bpo 6%|bean|fx06|beef|beet|r667
polyethyleneglycol human immuno globulin||polyethylene glycol 3350 nf pegylax|polyethylene glycol 450 lauryl ether|polyethylene glycol 3350 and electrolytes|cytomegalovirus immunoglobulin|polyethylene glycol-3350 and electrolytes|human cytomegalovirus immune globulin|polyethylene glycol 3350 nf|nonaethylene glycol monolauryl ether|human clostridium tetani immune globulin|lapine t-lymphocyte immune globulin
ringer's solution (with glucose)||original lotion with sunscreen|prep solution with spray bottle|proactiv solution renewing cleanser|dakin's solution 0.5% modified|ringer's injection usp|snail solu tion skin booster|mineral oil (high viscosity)|betadine solution swabsticks|active protection with aloe|disinfectant solution for hand-use
keishi karyo tsukiyu||felis catus skin|esika perfect sun kids|artemisia no smoking|speed stick pro skin|dermisa clear skin|esika silk skin|wish care baby|shimmery sun|kobushi magnolia bark|miami carry on wipes
lima prost alphadex||limaprost alfadex|liposomal prostaglandin e1|sodium pyrosulphite|calcium phosphates|calcium phosphate|limaprost|all purpose cleaner|prasterone sulphate|iron pyrophosphate|aluminum phosphate
pollen extract||millet extract|wheat pollen extract|grass pollen extract|pecan pollen extract|aspen pollen extract|beech pollen extract|honey extract|privet pollen extract|nettle pollen extract|linden pollen extract
rheumatrex||rematex|reditrex|humatrope|realtree|humate-p|hematite|hematide|hemotreat|prenatrix|hematogen
dasen||aspen|ddsgen|adagen|daysee|casein|date|paser|pasbn|depen|eisen
bifidobacterium preparation (4)||bifidobacterium infantis|bifidobacterium infantis whole|bifidobacterium liberorum whole|bifidobacterium lactentis whole|bifidobacterium breve|bifidobacterium longum infantis|bifidobacterium longum infantis whole|brown rice preparation|carduus marianus preparation|boswellia serrata preparation
gosekisan||goserelin|bronkisan|covisan|bosentan|septi-san|givosiran|goserelina|flosequinan|goose meat|cositecan
gokoto||gonitro|golotimod|okebo|mojito|goose|tomato|iodotope|goprelto|potato|senokot
edxavant sylate hydrate||hexafluoroacetone hydrate|cavan folate dha|doxycyclate hyclate|ferric citrate hydrate|iron azide hydrate|dicalcium phosphate dihydrate|magnesium aluminate hydrate|lanoline hydratee|magnesium aluminum silicate hydrate|hexaammonium molybdate tetrahydrate
pneumonia medicine||motion medicine|pinworm medicine|percy medicine|powerful pain medicine|po sum on medicated|cold medicine|pearson mepivacaine|father johns medicine|nitetime cold medicine|pms-nifedipine
lactomin||pantomin|lactojen|letomint|laclotion|lactoflavin|ractopamine|bacmin|lactol|artemin|lactose
dangerous drug||generic drug|dang gui tou|panax verus fruit|anhydrous dextrose|anhydrous gypsum|argentous oxide|sang root bark|dallergy drops|dancers select|kroger no drip
plzenide||mafenide|plenamine|piretanide|plecanatide|polihexanide|pilzicainide|lozide|lenifen|peridex|plendil
dry anti-hbs human immunoglobulin||rabbit anti-human thymocyte immunoglobulin|anti-sars-cov-2 immunoglobulin|rabbit anti-thymocyte immunoglobulin|antithymocyte immunoglobulin|anti-d immunoglobulin|human anti-d immunoglobulin|anti-d immunoglobulins|human normal immunoglobulin|anti-coronavirus immunoglobulin|human immunoglobulin g
reagents for general testing||age renewal firming|re9 advanced for men travel set|crest pure gentle whitening|rite aid renewal hydrating|sucrets original mint|giant fennel resin|trichophyton for intradermal skin testing|leader general protection spf 30|leader general protection spf 70|artra skin tone for normal skin
maintenance liquid (3)||maintenance warehouse|anti nausea liquid|ethrane liquid inh|antacid liquid susp|menjugate liquid|anti-nauseant liquid gels|nitrogen liquid 99%|tanac liquid|after bite liquid 3.61%|rite aid liquid
damoktocog alpha pegol (genetical recombination)||agalsidase alfa (genetical recombination)|agalsidase beta (genetical recombination)|alteplase (genetical recombination)|antithrombin gamma (genetical recombination)|galsulfase (genetical recombination)|laronidase (genetical recombination)|somapacitan (genetical recombination)|insulin lispro (genetical recombination)|adalimumab (genetical recombination)|ocrelizumab (genetical recombination)
platelets transfusion||ageloc transformation|platelet activating factor|platelet-activating factor|placenta ex emulsion|pearl rewhite transfusion dna kit|athletes foot antifungal|clematis base cushion|leg strong trifusion|platelet lysate|clear eyes triple action
r0486646||mk-8666|r-306465|r04946 liq|r048-8071|prx-08066|cra_8696|mk-0646|ru84687|ro-4987655|r04936 liq
dried hemophilus type b vaccine (tetanus toxoid conjugate)||haemophilus influenzae b polysaccharide - tetanus conjugate|haemophilus influenzae b polysaccharide-tetanus conjugate|neisseria meningitidis group y capsular polysaccharide tetanus toxoid conjugate antigen|neisseria meningitidis group a capsular polysaccharide tetanus toxoid conjugate antigen|neisseria meningitidis group c capsular polysaccharide tetanus toxoid conjugate antigen|diphtheria and tetanus toxoids adsorbed|haemophilus influenzae type b strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen|haemophilus influenzae type b strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen|carbomer homopolymer type b (allyl pentaerythritol crosslinked)|neisseria meningitidis group w-135 capsular polysaccharide tetanus toxoid conjugate antigen
non-pyrine cold remedy (4)||non-aspirin childrens|polysporin cold sore ointment|nighttime cold medicine|nite time cold medicine|nitetime cold medicine|999 cold remedy|neo-synephrine mild strength|cough and cold relief hbp|coricidin cold &amp; flu|non aspirin childrens
damarin l||marinol|stamaril|dramamine|kemadrin elx|amaryl|daturin|cymarin|samario|amatine|vayarin
polar prezink||polaprezinc|bola resin|proclorperazina|oxaprozin|oxaprozina|oxaprozine|cariprazine|power relief|apo-oxaprozin|opobalsam resin
digestive medicine||digestive relief|nitetime cold medicine|nighttime cold medicine|nite time cold medicine|motion medicine|percy medicine|pinworm medicine|allergy medicine|diethylenediamine|cold medicine
dalacin s||anacin es|dalacin t 1%|malacidin b|malacidin a|calan sr|d-alanin|balancing|d-alanine|anacin af|doloracin rx
platelet||doptelet|glatect|nplate|abelcet|platinol|tl-select|platelet lysate|pyrantel|fleet|parsley
fresh frozen human plasma||fibrinogen human plasma-derived|fresh fries hand sanitizer|thrombin human plasma-derived|recombinant human microplasmin|fresh linen hand sanitizer|freshorize hand sanitizer|rinse free hand cleanser|green fresh plus a|recombinant human plasma gelsolin|fresh green tea seed serum
biodiastase 2000 combination drug (12)||monistat 1 combination pack|monistat 3 combination pack|miconazole 3 combination pack|monistat 7 combination pack triple action|monistat 1 combination pack triple action|monistat 3 combination pack triple action|moisture rich foundation spf 15|hops-valerian combination cap|arllin golden combination charisma cc|fc5 face oily combination sample set
daikenchuto||dimentho|darifenacinum|sani schutz|dl-fenchone|daytime cough|darifenacina|difenoxilato|darifenacin|dienestrol|difenidolo
protein anabolic hormone||luteinizing gonadotropic hormone|protein c human|luteotropic hormone|thyrotropin releasing hormone|luteinising hormone|parathyroid hormone|luteinizing hormone|pentylcannabichromene|protein c concentrate|atrial natriuretic hormone
plarent subcutaneous injection pen||patent blue sodium injection|ephedrine sulfate injection usp|protamine sulfate injection usp|flupentixol decanoate injection bp|heparin sodium injection usp|fentanyl citrate injection usp|atropine sulfate injection usp|lactated ringer's injection usp|potassium acetate injection usp|sufentanil citrate injection usp
daiichi sankyo gastrointestinal drug||derangements gastro-intestinaux-cap 250mg|cough and chest congestion syrup|coricidin ii chest congestion and cough|papaya mango antibacterial hand|cough and chest congestion dm|coricidin hbp chest congestion and cough|vicks casero chest congestion relief|differin dark spot correcting serum|cough and chest congestion dm adult|neocitran ultra strength total flu
proginova||prolina|preginot|procaina|eprozinol|progabida|bromisoval|eprazinona|aprotinina|prolia|renova
pl gran.||pelgraz|pml crono|salt grass|oat grain|prograf|rye grain|plegridy|alkeran|holy grass|alyrane
influenza ha vaccine||influenza care synergy|influenza a|cholera vaccine|hepatitis a vaccine|lnp-ncovsarna vaccine|influenza virus type b|plague vaccine|dengue vaccine|anthrax vaccine|lv-smenp vaccine
daifukuhi||darifenacin|basifungin|bai zhi|danggui|dadima fruit|antiflu kids|darifénacine|darifenacina|dinutuximab|daniquidone
pressor||lopressor|presto|crestor|resolor|predator|presatovir|pressyn ar|repso|iressa|prosom
dai-kenchu-to||dl-fenchone|diphenhist|dimentho|darifenacinum|difenoxilato|ak-pentolate|defensol-ito|sanitech-a2|dl-menthone|sani schutz
human red blood cell fluid||human amniotic fluid|cellstory plus cell fluid|technetium tc-99m red blood cell human|technetium tc-99m red blood cells|technetium tc 99m red blood cells|technetium tc-99m red blood cell|advanced cell boosting ex fluid|human rho(d) immune globulin|technetium (99mtc) red blood cells|duane reade hot and cold balm
other metabolic drugs not classified elsewhere||rite aid dandruff 2 in 1 classic clean|siero du kind cleansing sherbet|heb antacid extra strength assorted berry|mickey sun smacker spf 24 classic sherbet|mineral wear airbrushing pressed powder|the bamboo of damyang moisture essence|head and shoulders 2in1 classic clean|the skin house wrinkle system essence|kroger enamel protection sensitive gentle whitening|secret clinical strength soft sensitive unscented
d2e7||g207|dr527|d12057|hspe7|dxevo|depen|dolex|daesi|dicel|dugel
ogikenchuto||oxifenbutazona|hygiene hero|olinciguat|bronchitol|blincyto|dimentho|yinchiao|pimento|greenco|oxiphenbutazone
pinus nigra oil||pinus nigra pollen|pinus mugo oil|pinus rigida pollen|pinus mugo leaf oil|ricinus nanus oil|ricinus minor oil|vitis vinifera oil|prunus armeniaca oil|pinus mugho leaf oil|populus nigra pollen
nesitumumab (genetical recombination)||adalimumab (genetical recombination)|ocrelizumab (genetical recombination)|burosumab (genetical recombination)|infliximab (genetical recombination)|abciximab (genetical recombination)|somatrem (genetical recombination)|somapacitan (genetical recombination)|lenograstim (genetical recombination)|galsulfase (genetical recombination)|alteplase (genetical recombination)
immunoglobulin||vzv immune globulin|cmv-immune globulin|anti-d immunoglobulin|thymoglobulin|tetanus immunoglobulin|human immunoglobulin g|rabies immunoglobulins|anti-d immunoglobulins|immunoglobulin (human)|immune globulin human
cycrest sublingual||ergomar sublingual|lorazepam sublingual|isosorbide sublingual|crest bubblegum|crest sensi-namel|hyoscyamine sulfate sublingual|corrosive sublimate|crest moisturizing|crest sensi-care|crest splash
adrenal hormones||adrenalone|parathormone|adrenalona|adrenaline|growth hormone|adalat oros|renewal for men|avenanthramides|citranatal harmony|oriental fermented
picibanil||piribedil|nicorandil|baciban|picodan|pipracil|icatibant|lucitanib|silibinin|dicopanol|proguanil
human whole blood||man whole|human ghrelin|human hemoglobin|zumiskin honey boom|human growth hormone|human protein c|roman chamomile flower|huai flower bud|human thrombin|human amniotic fluid
b12 combination drug||monistat 1 combination pack|monistat 3 combination pack|body conditioner|life combat anti-dandruff|lbel homme antidandruff|chest congestion syrup|ready foundation dark|b-12 compliance|ms contin cr|miconazole 3 combination pack
employ still||enprostil|romiplostim|simply sleep|empliciti|epsom salt|luprostiol|pulmoll pastilles|prep non sterile|treprostinil|remedy nails
precipitated hemophilus type b vaccine (non-toxic mutant diphtheria toxin conjugate)||neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen|streptococcus pneumoniae type 6b capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae serotype 6b capsular antigen diphtheria crm197 protein conjugate vaccine|neisseria meningitidis group c capsular polysaccharide diphtheria toxoid conjugate antigen|neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen|streptococcus pneumoniae type 3 capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae type 1 capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae type 4 capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae type 5 capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae serotype 3 capsular antigen diphtheria crm197 protein conjugate vaccine
pibrentas building||pibrentasvir|phosbretabulin|fosbretabulin|prenatal vi-min|pentamidina|pentamidin|pentamidine|childrens silfedrine|profen ib childrens|childrens triacting
cv185-068||cvt-6883|hcv-086|can-508|cyc-065|c18:0|nnc126-0083|cp-866087|ly2181308|pd150606|avi-4065
csf preparation||cold preparation|skin preparation|oats preparation|lamb preparation|caviar preparation|honey preparation|salmon preparation|serenoa preparation|preparation h|rhubarb preparation
ppi (proton pump inhibitor)||plasma protease c1 inhibitor|alpha 1-proteinase inhibitor|alpha1-proteinase inhibitor|alpha-1 protease inhibitor|alpha-1-proteinase inhibitor|protein c (coagulation inhibitor)|fibrinolysis inhibitor|alpha 1-proteinase inhibitor (human)|recombinant human c1 inhibitor|recombinant human c1-inhibitor
coptis||softis|optison|cortisol|cotabs|xcopri|optase|comtess|copalia|codfish|captril
cs-023||s-23|cgs-27023|cc-223|cts-1027|crs-3123|cb-103|cf-102|sb-123|osi-027|chs-828
shakuyakukanzoto||sulphafurazole|suyan chungsoo|hae yan tooth|sulphafurazol|sulfafurazole|sulfafenazolo|sulfafurazol|sakuranetin|shu di huang root|(2s)-sakuranetin
physio 500||physiosol|physiolyte|psoriasol 500|glysol-500|physi-cold|cybid 5.0|primaxin 500|inositol 500mg|physostol|tabcin 500
shimeprevir sodium||heparin sodium|esomeprazole sodium|fosinopril sodium|ibuprofen sodium|divaproex sodium|reviparin sodium|thiopental sodium|cvs ibuprofen sodium|shoprite naproxen sodium|simeprevir
crude drug ingredients||creme de jour au retinol|crusader skin lightening|circle k pain reliever|triderma pain relief|care one pain relief infants|pomada dragon pain relieving|secret dry light essentials|core values pain reliever|equate oral pain relief|blue gel pain relieving
poria cocos sclerotium||port a mins super potassium 99|pterin cytosine dinucleotide|priyal cocoa jelly aloe|princess petroleum|trichlorochromium|opus docusate sodium|ricinus scaber oil|agave cactus serum|parecoxib sodium|pro pcos citrus
comprehensive amino acid preparation for high-calorie infusion (3)||aveeno calamine and pramoxine hydrochloride anti itch|complete multivitamins and minerals for children|cold preparation for cough and sinus relief|president's choice sunblock lotion for children spf 30|sterile 0.9% sodium chloride solution for inhalation usp 3ml|rimmel london match perfection foundation - true nude (320)|potassium chloride in sodium chloride injection usp|5% travasol amino acid injection with electrolytes in 20% dextrose|sterile 0.45% sodium chloride solution for inhalation usp 3ml|rimmel london match perfection foundation - true ivory (130)
creosotic acid||orotic acid|ursolic acid|retionic acid|urokonic acid|cervonic acid|canrenoic acid|m-cresylic acid|chenocholic acid|acetic acid|threonic acid
phosphodiesterase-inhibitor||human c1-esterase inhibitor|hiv integrase inhibitor|alpha-1 protease inhibitor|alpha1-proteinase inhibitor|complement c1 esterase inhibitor|plasma protease c1 inhibitor|alpha-1-proteinase inhibitor|alpha 1-proteinase inhibitor|histone deacetylase inhibitor iii|naphthyridine inhibitor
crab tsumabu||crab meat|cramp tabs|olaratumab|iratumumab|abituzumab|crotedumab|robatumumab|trastuzumab|labetuzumab|crizanlizumab
central nervous system drugs||center-al - house dust|fentanyl transdermal system 100|fentanyl transdermal system 50|fentanyl transdermal system 25|fentanyl transdermal system 75|central western weed mix|central venous catheter expanded kit|nicotine transdermal system step 2|nicotine transdermal system step 3|nicotine transdermal system step 1
cp-751871||cp-724714|cx-717|cp-271485|cp-122721|cp-744809|pf-05089771|uc-781|cp1-1189|cp-866087|cp-601927
precipitated 13-valent pneumococcal conjugate vaccine (non-toxic mutant diphtheria toxin conjugate)||neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen|neisseria meningitidis group c capsular polysaccharide diphtheria toxoid conjugate antigen|streptococcus pneumoniae serotype 9v capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 6a capsular antigen diphtheria crm197 protein conjugate vaccine|neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen|streptococcus pneumoniae serotype 18c capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 19a capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 4 capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 3 capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 1 capsular antigen diphtheria crm197 protein conjugate vaccine
polyglycolic acid||thioglycolic acid|glycolic acid|glycollic acid|poly(lactic acid)|2-phosphoglycolic acid|ioglycamic acid|l-gluconic acid|glycocholic acid|poly-l-lactic acid|glyoxylic acid
phosphenytoin||fosphenytoin|fosphenytoine|fosphenytoinum|phenytoin|taro-phenytoin|mephenytoin|phosphomycin|phospholutein|phosphonemycin|phosphonomycin
cp-690550||cp-195543|cp-609754|cc-11050|tmc-647055|cp-601927|cp-94707|cpi-1205|cp-866087|pf-06305591|ly-295501
biodiastase 2000 combination drug (18)||monistat 1 combination pack|monistat 3 combination pack|miconazole 3 combination pack|monistat 7 combination pack triple action|monistat 1 combination pack triple action|monistat 3 combination pack triple action|moisture rich foundation spf 15|hops-valerian combination cap|aveeno cleansing bar - combination skin -38%|arllin golden combination charisma cc
choleciferol||cholecalciferol|colecalciferol|calciferol|cholesterol|cholecalciferolum|precholecalciferol|colecalciferolum|calcifediol|precalciferol|ergocalciferol
polyamine||epyamine|polocaine|imolamine|trolamine|polydatin|protamine|plenamine|oxolamine|polygeline|doxylamine
vitamins (4)||vitamin b4|vitamins a d|vitamin h|vitamin m|vitamin e|vitamin j|vitamin c|vitamin k|vitamin a|vitamin g
phosnetpitant||fosnetupitant|netupitant|orvepitant|fosaprepitant|osanetant|aprepitant|vestipitant|fosaprépitant|rolapitant|pavinetant
anti-hbs human immunoglobulin||anti-sars-cov-2 immunoglobulin|anti-d immunoglobulin|antithymocyte immunoglobulin|anti-d immunoglobulins|anti-coronavirus immunoglobulin|human immunoglobulin g|human normal immunoglobulin|tetanus immunoglobulin|vaccinia immunoglobulins|rabbit anti-human thymocyte immunoglobulin
lembatinib mesylate||imatinib mesylate|imatinib mesylate 400 mg|tricaine mesylate|doxazosin mesylate|eprosartan mesylate|rasagiline mesylate|benztropine mesylate|deferoxamine mesylate|phentolamine mesylate|imatinib medac
placenta||procentra|penta|pork placenta|alfenta|alecensa|trajenta|piracetam|laventair|pletal|talacen
coptis spp. rhizome||acorus calamus rhizome|zhi mu rhizome|atractylis ovata rhizome|acori calami rhizoma|tibet sweetflag rhizome|curcuma longa rhizome|atractylodes rhizome|mao cang zhu rhizome|otis clapp thorets|elecampane rhizome
artificial dialysate (3-4)||artificial tears plus|artificial tears extra|artificial tears|artificial eye|artificial tears lubricant eye|pms-artificial tears dps 1.4%|artificial tears lubricant eye drops|artificial tears for dry eyes|pms-artificial tears plus sol|nwi artificial tears eye
phenyltoroxamine citrate||phenyltoloxamine|orphenadrine citrate|phenylmercuric nitrate|phentolamine mesylate|phendimetrazine tartrate|phenyltoloxaminum|toremifene citrate|diphenylpyraline teoclate|phenylmercuric borate|chromic citrate
copd remedy||head remedy|999 cold remedy|deep remedy|cold relief|cold relief dm|cp medi|oramedy|compressed|corn removers|cold remedy soothing
streptococcus pneumoniae vaccine||streptococcus faecium whole|sars-cov-2 mrna vaccine|streptococcus pneumoniae type 9v capsular polysaccharide antigen|sars-cov-2 rs nanoparticle vaccine|streptococcus pneumoniae type 5 capsular polysaccharide antigen|streptococcus pneumoniae type 4 capsular polysaccharide antigen|streptococcus pneumoniae type 2 capsular polysaccharide antigen|streptococcus pneumoniae type 1 capsular polysaccharide antigen|streptococcus pneumoniae type 3 capsular polysaccharide antigen|streptococcus pneumoniae type 8 capsular polysaccharide antigen
poratsuzumab bedochin||polatuzumab vedotin|pinatuzumab vedotin|sofituzumab vedotin|ladiratuzumab vedotin|lifastuzumab vedotin|polatuzumab vedotin-piiq|azintuxizumab vedotin|telisotuzumab vedotin|vorsetuzumab mafodotin|enfortumab vedotin
picolamine salicylate||trolamine salicylate|choline salicylate|physostigmine salicylate|phenyl aminosalicylate|imidazole salicylate|4-aminosalicylate|phenyl 4-aminosalicylate|glycol salicylate|pyrilamine maleate|phentolamine mesylate
cool one soft capsule||cold and flu capsules|cod liver oil capsule|loratadine soft gel capsules|cod liver oil capsules|contac cold capsules|colace capsules|borage oil capsules|cardene 30mg capsules|cyclosporine capsules|cardene 20mg capsules
other respiratory medications||mouth sore medication|allergy relief medication|allergy sinus medication|careone allergy medication|ventolin respirator solution|signature care acne medication|face values acne medication|dollar general acne spot medication|regular strength sinus medication|preparation h medicated wipes
sodium silastatin||sodium lactate|sodium sulfacetamide|sodium sulfate|sodium l-tartrate|sandoz simvastatin|sodium cation|sodium citrate|sodium acetate|sodium nitrate|sodium tartrate
picchilisive||pictilisib|incyclinide|procyclidine|cupric chloride|pilaralisib|dichlorine|thiocolchicoside|bicculine|succinimide|ciclacilline
phenovalin||phentolamin|phenozin|phenothrin|phentolamine|phenelzin|phenytoin|phrenilin|phenacetin|phentytoin|phenformin
other blood and body fluid medicines (general medicines)||nighttime cold and flu extra strength medicine|meyer lemon and honey-cough relief lozenges (oral anesthetic)|meijer cold and hot pain relieving analgesic|better braids medicated un-braid medicated|theraflu flu cold and cough medicine|cold and flu medicine - night time formula|cold and flu medicine - day time formula|better braids medicated leave in conditioner medicated|premier value antacid and pain relief medicine|hot lemon cold and flu relief extra strength
continuous epidural analgesia||continuous epidural anesthesia tray|rocainol topical analgesic|continuous spray lotion|canadian external analgesic|anti itch topical analgesic|continuous control acne cleanser|numquick topical analgesic|shingbase topical analgesic|microcaine topical analgesic|painkoolers topical analgesic
phenylacetylglycine dimethylamide||1-phenylcyclopentanemethylamine|pentaethyleneglycol dimethyl ether|phenylalanine methyl ester|1-(1-phenylcyclopentyl)methylamine|lysergic acid diethylamide|d-lysergic acid diethylamide|c-(1-phenyl-cyclopentyl)-methylamine|2-(phenyl-o-tolylmethoxy)ethyldimethylamine|phenylacetaldehyde|phenylalanine amide
inorganic salt combination||drixoral nasal congestion|organic sulfur suspension|monistat 3 combination pack|monistat 1 combination pack|somatrem (genetical recombination)|lenograstim (genetical recombination)|inorganic triphosphate|cormax scalp application|insulin aspart recombinant|infliximab (genetical recombination)
recombinant precipitated divalent human papillomavirus-like particle vaccine (derived from cabbage looper cells)||recombinant human antigen-specific polyclonal antibody (pab) against rhd antigen expressed in chinese hamster ovary cells|allogenic donor cd362-enriched human umbilical cord-derived mesenchymal stem cells|inactivated novel coronavirus (2019-cov) vaccine (vero cells)|allogeneic donor cd362 enriched human umbilical cord-derived mesenchymal stromal cells|recombinant novel coronavirus vaccine (adenovirus type 5 vector)|recombinant human papillomavirus type 18 l1 protein|recombinant human papillomavirus type 31 l1 protein|recombinant human papillomavirus type 33 l1 protein|recombinant human papillomavirus type 11 l1 protein|recombinant human papillomavirus type 45 l1 protein
infusion||lip infusion|inulin|inosin|vusion|infecton|dimension|duo fusion|nourifusion|linbuspirone|inosina
pgi2||palgic|pdgf-2|cg-igf2|apri 21|apri 28|pti-428|pri-724|pregvit|px-12|peg-6
pf-06425090||pf-06459988|pf-04217903|pf-06651600|pf-06305591|pf-06821497|pf-04620110|pd-0325901|pf-06252616|pf-04691502|pf-05280602
