erythromycin stearate||erythromycin|stearic acid
synthetic salmon calcitonin||salmon calcitonin|salmon, unspecified
paliperidone palmitate||palmitic acid|paliperidone
paliperidone palmitic acid ester||palmitic acid|paliperidone
indinavir sulfate ethanol adduct||indinavir|ethanol
tafluprost timolol maleate||timolol|tafluprost
indium (111in) ibritumomab tiuxetan (genetical recombination)||indium|ibritumomab tiuxetan
cyclophosphamide (cp)||cyclophosphamide|emodepside
cyclophosphamide hydrate||cyclophosphamide|emodepside
cyclophosphamide monohydrate||cyclophosphamide|emodepside
tazobactam sodium piperacillin nato||piperacillin|tazobactam
insulin aspart protamine (crystal line)||insulin aspart|protamine
d-sorbitol and d-mannitol||mannitol|sorbitol
tenofovir alafenamide fumarate||tenofovir|tenofovir alafenamide
tenofovir disoproxil fumarate||tenofovir|tenofovir disoproxil
dapagliflozin propylene glycol hydrate||propylene glycol|dapagliflozin
interferon alfacon-1 (genetical recombination)||natural alpha interferon|interferon alfacon-1
interferon alpha-2a (genetical recombination)||interferon alfa-2a, recombinant|natural alpha interferon|interferon alfa-n1
testosterone propionic acid ester||propanoic acid|testosterone
interferon alpha-2b (genetical recombination)||natural alpha interferon|interferon alfa-n1
darunavir ethanol adduct||ethanol|darunavir
pentamidine acetylate||pentaerythritol tetranitrate|pentamidine
pentazocine hydrochloride||pentaerythritol tetranitrate|pentazocine
ipragliflozin l-proline||ipragliflozin|l-proline
artemether lumefantrine||artemether|lumefantrine
tetrakismethoxyisobutylisocyanide copper (i) boric acid tetrafluoride||copper|boric acid
dental iodine glycerin||iodine|glycerin
desogestrel ethinyl estradiol||desogestrel|estradiol|ethinyl estradiol
dexamethasone palmitic acid ester||dexamethasone|palmitic acid
aspirin aluminum||aluminium|acetylsalicylic acid
aspirin and ascorbic acid||vitamin c|acetylsalicylic acid
dexamethasone sodium phosphate||dexamethasone|sodium phosphate
josamycin propionic acid ester||josamycin|propanoic acid
dexamethasone sodium sulfate||dexamethasone|sodium sulfate
aspirin dl-lysine||acetylsalicylic acid|l-lysine
dextran sodium sulfate||dextran|sodium sulfate
titanium silicate||silicon dioxide|titanium
tocopherol nicotinic acid ester||niacin|tocopherol
diflucortolone valerate lidocaine||lidocaine|difluocortolone
phenytoin phenobarbital||phenytoin|phenobarbital
diflucortolone valeric acid ester lidocaine||lidocaine|difluocortolone
tramadol and acetaminophen||acetaminophen|tramadol
diphenhydramine diprophylline||dyphylline|diphenhydramine
trametinib dimethyl sulfoxide adduct||trametinib|dimethyl sulfoxide
piperacillin and tazobactam||piperacillin|tazobactam
travoprost timolol maleate||timolol|travoprost
l-arginine l-glutamic acid hydrate||glutamic acid|l-arginine
tribenoside lidocaine||lidocaine|tribenoside
barium sulfate containing carbon dioxide||barium|activated charcoal|barium sulfate|carbon dioxide
trifluridine and tipiracil hydrochloride||tipiracil|trifluridine
barium sulfate powder 97.5% holly||barium|barium sulfate
polyvinyl alcohol iodine||iodine|ethanol|polyvinyl alcohol
basiliximab (genetical recombination)||basiliximab|basil
lamivudine abacavir sulfate||lamivudine|abacavir
potassium l-aspartate||l-aspartic acid|insulin aspart
laninamivir octanoic acid ester hydrate||caprylic acid|laninamivir
lanthanum carbonate hydrate||activated charcoal|lanthanum carbonate
pralidoxime iodide||iodide|pralidoxime
unadjusted cornstarch||corn|starch, corn
dried egg yolk combination||egg|egg yolk
latanoprost timolol maleate||timolol|latanoprost
droperidol fentanyl citrate||droperidol|fentanyl
drospirenone ethinyl estradiol betadex||betadex|drospirenone|ethinyl estradiol|estradiol
prasterone sulfate sodium hydrate||prasterone|prasterone sulfate
dry aluminum hydroxide gel||aluminium|aluminum hydroxide
dry concentrated human activated protein c||protein c|drotrecogin alfa
pregnenolone androstenedione combination||pregnenolone|androstenedione
levodopa benserazide hydrochloride||levodopa|benserazide
procainamide hydrochloride||procaine|procainamide
benzylpenicillin procaine||procaine|benzylpenicillin
procainamide-based preparation||procaine|procainamide
levonorgestrel ethinyl estradiol||levonorgestrel|estradiol|ethinyl estradiol
betamethasone butyrate propionate||betamethasone|butyric acid
efonidipine hydrochloride ethanol adduct||ethanol|efonidipine
betamethasone butyrate propionic acid ester||propanoic acid|betamethasone|butyric acid
betamethasone d-chlorpheniramine maleate||betamethasone|chlorphenamine
limethason (dexamethasone palmitate)||dexamethasone|palmitic acid
valsartan_hydrochlorothiazide||hydrochlorothiazide|valsartan
betamethasone sodium phosphate||betamethasone|sodium phosphate
lithium carbonate||lithium|activated charcoal
emtricitabine tenofovir arafenamide fumarate||tenofovir|emtricitabine
protamine insulin zinc||zinc|protamine
emtricitabine tenofovir disoproxil fumarate||tenofovir|emtricitabine|tenofovir disoproxil
liver extract flavin adenine dinucleotide sodium||flavin adenine dinucleotide|adenine
protein silver||silver|protein s human
endoxan [cyclophosphamide]||cyclophosphamide|emodepside
victegravir sodium emtricitabine tenofovir arafenamide fumarate||tenofovir|emtricitabine
lopinavir ritonavir||ritonavir|lopinavir
pyridoxal calcium phosphate||calcium phosphate|pyridoxal
losartan potassium hydrochlorothiazide||losartan|hydrochlorothiazide
pyridoxal phosphate hydrate||pyridoxal phosphate|pyridoxal
ephedrine and ephedra preparations||ephedrine|ephedra
vitamin b12 agent||cyanocobalamin|thiamine
vitamin b12 preparation||cyanocobalamin|thiamine
lugol's iodine glycerin||iodine|glycerin
vitamin d3 preparation||cholecalciferol|vitamin d
zidovudine and lamivudine||zidovudine|lamivudine
zinc methionine||zinc|methionine|n-acetylmethionine
zinc oxide and clove oil||clove oil|clove|zinc oxide|zinc
zinc sulfate syrup||zinc|zinc sulfate
zinc undecylenate||undecylenate|zinc
